CustomerID,Lookalikes
C0001,"[('C0107', 0.9891859624824912), ('C0137', 0.9795691886179346), ('C0174', 0.9702530928214297)]"
C0002,"[('C0142', 0.9679784016675456), ('C0186', 0.9434387311243558), ('C0177', 0.9362824104815758)]"
C0003,"[('C0091', 0.8740008689448416), ('C0129', 0.8489164968370728), ('C0190', 0.8480948678960579)]"
C0004,"[('C0113', 0.9814706492775724), ('C0102', 0.9539822917158054), ('C0104', 0.9429318704464984)]"
C0005,"[('C0186', 0.9887580001400851), ('C0159', 0.9722171729488452), ('C0177', 0.9682810554587267)]"
C0006,"[('C0168', 0.9713748311610673), ('C0171', 0.9473923870391915), ('C0096', 0.9163326232462837)]"
C0007,"[('C0140', 0.968479207031076), ('C0092', 0.967617534429847), ('C0115', 0.9584583186422918)]"
C0008,"[('C0098', 0.9098966219430624), ('C0049', 0.8992266294116285), ('C0024', 0.8974568505792989)]"
C0009,"[('C0119', 0.9663300323416574), ('C0198', 0.9653318755869027), ('C0103', 0.9407385418081805)]"
C0010,"[('C0111', 0.9467234893705283), ('C0166', 0.9397674433930318), ('C0197', 0.9056957752146304)]"
C0011,"[('C0048', 0.9758139635510141), ('C0107', 0.975647704960487), ('C0001', 0.9562187144308901)]"
C0012,"[('C0153', 0.9781805487697264), ('C0102', 0.9744321051530678), ('C0013', 0.9547110561287274)]"
C0013,"[('C0099', 0.9826568654594463), ('C0188', 0.9819898085669239), ('C0104', 0.9812321440987019)]"
C0014,"[('C0060', 0.9805374368228656), ('C0198', 0.9529516277295165), ('C0121', 0.9038521880523259)]"
C0015,"[('C0131', 0.9647341379676045), ('C0058', 0.9328265342903244), ('C0042', 0.9242467235057628)]"
C0016,"[('C0183', 0.9448364139807623), ('C0154', 0.9360535631650082), ('C0067', 0.8913347071109236)]"
C0017,"[('C0124', 0.9819759757331388), ('C0075', 0.9433324972703293), ('C0057', 0.8815416871824016)]"
C0018,"[('C0117', 0.8723707643022456), ('C0079', 0.8672419258385938), ('C0026', 0.8599613476455424)]"
C0019,"[('C0172', 0.994722230268333), ('C0127', 0.9487136906463426), ('C0119', 0.9356797826163681)]"
C0020,"[('C0050', 0.8748562058561671), ('C0036', 0.874016510537478), ('C0131', 0.8382540730282683)]"
